Starting page :

9.0		Vue d'ensemble du chapitre					p. 457
9.1		Expressions arithmétiques					p. 458
9.1.1		Affectations simples						p. 458
9.1.2		Expressions simples						p. 458
9.1.3		Expressions complexes						p. 460
9.1.4		Opérateurs commutatifs						p. 464
9.2		Expressions logiques (booléennes)				p. 465
9.3		Opérations de multiprécision					p. 468
9.3.1		Opérations d'addition de multiprécision				p. 469
9.3.2		Opérations de soustraction de multiprécision			p. 470
9.3.3		Comparaisons de valeurs de précision étendue			p. 471
9.3.4		Multiplication de précision étendue				p. 473
9.3.5		Division de précision étendue					p. 475
9.3.6		Opérations NEG de précision étendue				p. 478
9.3.7		Opérations AND de précision étendue				p. 479
9.3.8		Opérations OR de précision étendue				p. 480
9.3.9		Opérations XOR de précision étendue				p. 480
9.3.10		Opérations NOT de précision étendue				p. 480
9.3.11		Opérations de décalage de précision étendue			p. 480
9.3.12		Opérations de rotation de précision étendue			p. 482
9.4		Opérations sur des opérandes de différentes tailles		p. 482
9.5		Idiomes matériels et arithmétiques				p. 484
9.5.1		Multiplier sans MUL et IMUL					p. 484
9.5.2		Division sans DIV et IDIV					p. 485
9.5.3		Utiliser AND pour calculer les restes				p. 486
9.5.4		Implémenter des compteurs modulo-n avec AND			p. 486
9.5.5		Tester une valeur en précision étendue pour 0FFFF..FFh		p. 486
9.5.6		Opérations TEST							p. 487
9.5.7		Tester les signes avec XOR					p. 487
9.6		Opérations de masque						p. 488
9.6.1		Opérations de masquage avec l'instruction AND			p. 488
9.6.2		Opérations de masquage avec l'instruction OR			p. 488
9.7		Compacter et décompacter des données				p. 488
9.8		Tables								p. 490
9.8.1		Calcul de fonctions par des tables de correspondance		p. 491
9.8.2		Conditionnement de domaine					p. 493
9.8.3		Générer les tables						p. 494
9.9 		Exemples de programmes						p. 496
9.9.1		Conversion d'expressions arithmétiques en assembleur		p. 496
9.9.2		Exemple d'opérations booléennes					p. 498
9.9.3		Entrées/Sorties de 64 bits					p. 500
9.9.4		Type pour compacter et décompacter les données			p. 504
9.10		Exercices de laboratoire					p. 507
9.10.1		Déboguer des programmes avec CodeView				p. 507
9.10.2		Stratégies de débogage						p. 509
9.10.2.1	Détecter des boucles infinies					p. 510
9.10.2.2	Calculs incorrects						p. 510
9.10.2.3	Instructions incorrectes / Boucles infinies Partie II		p. 511
9.10.3 Exercice de débogage I : Utiliser CodeView pour trouver des bogues dans un calcul p. 511
9.10.4		Exercices sur les logiciels de retardement de boucles		p. 514
9.11		Projets de programmation					p. 514
9.12		Résumé								p. 514
9.13		Questions							p. 517
